tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
ALQUTEKNDPODSS-UHFFFAOYSA-N	NCc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12	1	[NH2:2][CH2:3][c:4]1[cH:5][cH:6][n:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12>>[OH:1][N:2]=[CH:3][c:4]1[cH:5][cH:6][n:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12
ALQUTEKNDPODSS-UHFFFAOYSA-N	Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12	2	[n:2]1[cH:6][cH:5][c:4]([CH3:3])[c:13]2[c:8]1[cH:9][cH:10][cH:11][cH:12]2>>[OH:1][N:2]=[CH:3][c:4]1[cH:5][cH:6][n:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2ccccc12	3	Br[c:9]1[cH:8][c:7]2[n:6][cH:5][cH:4][c:3]([CH:2]=[NH:1])[c:12]2[cH:11][cH:10]1>>[NH:1]=[CH:2][c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12	3	[NH:2]=[CH:3][c:4]1[cH:5][cH:6][n:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12>>[OH:1][N:2]=[CH:3][c:4]1[cH:5][cH:6][n:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12
ALQUTEKNDPODSS-UHFFFAOYSA-N	Brc1ccc2c(Br)ccnc2c1.O=CN1CCCCC1>>O=Cc1ccnc2cc(Br)ccc12	3	Br[c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][c:9]([Br:10])[cH:11][cH:12][c:13]12.C1CCN([CH:2]=[O:1])CC1>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][c:9]([Br:10])[cH:11][cH:12][c:13]12
ALQUTEKNDPODSS-UHFFFAOYSA-N	O=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(Br)ccc12	3	O=[CH:2][c:3]1[cH:4][cH:5][n:1][c:7]2[cH:8][c:9]([Br:10])[cH:11][cH:12][c:13]12>>[NH:1]=[CH:2][c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][c:9]([Br:10])[cH:11][cH:12][c:13]12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2ccccc12	4	Br[c:9]1[cH:8][c:7]2[n:6][cH:5][cH:4][c:3]([CH:2]=[NH:1])[c:12]2[cH:11][cH:10]1>>[NH:1]=[CH:2][c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12
ALQUTEKNDPODSS-UHFFFAOYSA-N	Brc1ccc2c(Br)ccnc2c1>>O=Cc1ccnc2cc(Br)ccc12	4	Br[c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][c:9]([Br:10])[cH:2][cH:12][c:13]12>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][c:9]([Br:10])[cH:11][cH:12][c:13]12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12	4	[NH:2]=[CH:3][c:4]1[cH:5][cH:6][n:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12>>[OH:1][N:2]=[CH:3][c:4]1[cH:5][cH:6][n:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12
ALQUTEKNDPODSS-UHFFFAOYSA-N	O=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(Br)ccc12	4	O=[CH:2][c:3]1[cH:4][cH:5][n:1][c:7]2[cH:8][c:9]([Br:10])[cH:11][cH:12][c:13]12>>[NH:1]=[CH:2][c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][c:9]([Br:10])[cH:11][cH:12][c:13]12
